lab_id,sample_id,tab,outcome,reason,date
31550,35007,Re-review,Good,,2026-03-23
31640,35105,Re-review,Good,,2026-03-23
31641,35106,Re-review,Good,,2026-03-23
031826-31496,34990,Due Out,Good,,2026-03-23
031826-31495,34989,Due Out,Good,,2026-03-23
031826-31494,34988,Due Out,Good,,2026-03-23
031826-31520,34987,Due Out,Good,,2026-03-23
031826-31519,34986,Due Out,Good,,2026-03-23
031826-31518,34985,Due Out,Good,,2026-03-23
031826-31517,34984,Due Out,Good,,2026-03-23
031826-31516,34983,Due Out,Good,,2026-03-23
031826-31515,34982,Due Out,Good,,2026-03-23
031826-31514,34981,Due Out,Good,,2026-03-23
031826-31513,34980,Due Out,Good,,2026-03-23
031826-31512,34979,Due Out,Good,,2026-03-23
031826-31511,34978,Due Out,Good,,2026-03-23
031826-31510,34977,Due Out,Good,,2026-03-23
031826-31509,34976,Due Out,Good,,2026-03-23
031826-31508,34975,Due Out,Good,,2026-03-23
031826-31507,34974,Due Out,Good,,2026-03-23
031826-31506,34973,Due Out,Good,,2026-03-23
031826-31505,34972,Due Out,Good,,2026-03-23
031826-31504,34971,Due Out,Good,,2026-03-23
031826-31503,34970,Due Out,Good,,2026-03-23
031826-31502,34969,Due Out,Good,,2026-03-23
031826-31501,34968,Due Out,Good,,2026-03-23
031826-31500,34967,Due Out,Good,,2026-03-23
031826-31500,34967,Due Out,Good,,2026-03-23
031826-31500,34967,Due Out,Good,,2026-03-23
031826-31499,34966,Due Out,Good,,2026-03-23
031826-31498,34965,Due Out,Good,,2026-03-23
031826-31497,34964,Due Out,Good,,2026-03-23
031926-31522,35041,Yesterday,Good,,2026-03-23
031926-31521,35040,Yesterday,Good,,2026-03-23
031926-31603,35039,Yesterday,Good,,2026-03-23
031926-31602,35038,Yesterday,Good,,2026-03-23
031926-31601,35037,Yesterday,Good,,2026-03-23
031926-31600,35036,Yesterday,Good,,2026-03-23
031926-31599,35035,Yesterday,Good,,2026-03-23
031926-31598,35034,Yesterday,Good,,2026-03-23
031926-31597,35033,Yesterday,Good,,2026-03-23
031926-31596,35032,Yesterday,Good,,2026-03-23
031926-31595,35031,Yesterday,Good,,2026-03-23
031926-31594,35030,Yesterday,Good,,2026-03-23
031926-31593,35029,Yesterday,Good,,2026-03-23
031926-31592,35028,Yesterday,Good,,2026-03-23
031926-31591,35027,Yesterday,Good,,2026-03-23
031926-31590,35026,Yesterday,Good,,2026-03-23
031926-31589,35025,Yesterday,Good,,2026-03-23
031926-31588,35024,Yesterday,Good,,2026-03-23
031926-31587,35023,Yesterday,Good,,2026-03-23
031926-31586,35022,Yesterday,Good,,2026-03-23
031926-31585,35021,Yesterday,Good,,2026-03-23
031926-31584,35020,Yesterday,Good,,2026-03-23
031926-31583,35019,Yesterday,Good,,2026-03-23
031926-31582,35018,Yesterday,Good,,2026-03-23
031926-31581,35017,Yesterday,Good,,2026-03-23
031926-31580,35016,Yesterday,Good,,2026-03-23
031926-31579,35015,Yesterday,Good,,2026-03-23
031926-31578,35014,Yesterday,Good,,2026-03-23
031926-31577,35013,Yesterday,Good,,2026-03-23
031926-31576,35012,Yesterday,Good,,2026-03-23
031926-31554,35011,Yesterday,Good,,2026-03-23
031926-31553,35010,Yesterday,Good,,2026-03-23
031926-31552,35009,Yesterday,Good,,2026-03-23
031926-31551,35008,Yesterday,Good,,2026-03-23
031926-31550,35007,Yesterday,Good,,2026-03-23
031926-31549,35006,Yesterday,Good,,2026-03-23
031926-31550,35007,Yesterday,Bad,pour < Cloud,2026-03-23
031926-31548,35005,Yesterday,Good,,2026-03-23
031926-31548,35005,Yesterday,Good,,2026-03-23
031926-31548,35005,Yesterday,Good,,2026-03-23
031926-31547,35004,Yesterday,Good,,2026-03-23
