lab_id,sample_id,tab,outcome,reason,date
032526-31845,35408,Due Out,Good,,2026-03-30
032526-31867,35407,Due Out,Good,,2026-03-30
032526-31866,35406,Due Out,Good,,2026-03-30
032526-31865,35405,Due Out,Good,,2026-03-30
032526-31864,35404,Due Out,Good,,2026-03-30
032526-31863,35403,Due Out,Good,,2026-03-30
032526-31862,35402,Due Out,Good,,2026-03-30
032526-31861,35401,Due Out,Good,,2026-03-30
032526-31862,35402,Due Out,Good,,2026-03-30
032526-31860,35400,Due Out,Good,,2026-03-30
032526-31859,35399,Due Out,Good,,2026-03-30
032526-31858,35398,Due Out,Good,,2026-03-30
032526-31857,35397,Due Out,Good,,2026-03-30
032526-31856,35396,Due Out,Good,,2026-03-30
032526-31855,35395,Due Out,Good,,2026-03-30
032526-31854,35394,Due Out,Good,,2026-03-30
032526-31853,35393,Due Out,Good,,2026-03-30
032526-31852,35392,Due Out,Good,,2026-03-30
032526-31851,35391,Due Out,Good,,2026-03-30
032526-31850,35390,Due Out,Good,,2026-03-30
032526-31849,35389,Due Out,Good,,2026-03-30
032526-31848,35388,Due Out,Good,,2026-03-30
032526-31847,35387,Due Out,Good,,2026-03-30
032526-31846,35386,Due Out,Good,,2026-03-30

QBench Good Samples View:
https://asaplabs.qbench.net/tests?sample_ids=35408&sample_ids=35407&sample_ids=35406&sample_ids=35405&sample_ids=35404&sample_ids=35403&sample_ids=35402&sample_ids=35401&sample_ids=35402&sample_ids=35400&sample_ids=35399&sample_ids=35398&sample_ids=35397&sample_ids=35396&sample_ids=35395&sample_ids=35394&sample_ids=35393&sample_ids=35392&sample_ids=35391&sample_ids=35390&sample_ids=35389&sample_ids=35388&sample_ids=35387&sample_ids=35386&sort_order=DESC&view_config_id=17&page_size=700
