lab_id,sample_id,tab,outcome,reason,date
032326-31690,35333,Due Out,Good,,2026-03-26
032326-31778,35332,Due Out,Good,,2026-03-26
032326-31777,35331,Due Out,Good,,2026-03-26
032326-31776,35330,Due Out,Good,,2026-03-26
032326-31775,35329,Due Out,Good,,2026-03-26
032326-31774,35328,Due Out,Good,,2026-03-26
032326-31773,35327,Due Out,Good,,2026-03-26
032326-31772,35326,Due Out,Good,,2026-03-26
032326-31771,35325,Due Out,Good,,2026-03-26
032326-31770,35324,Due Out,Good,,2026-03-26
032326-31760,35323,Due Out,Good,,2026-03-26
032326-31759,35322,Due Out,Good,,2026-03-26
032326-31758,35321,Due Out,Good,,2026-03-26
032326-31757,35320,Due Out,Good,,2026-03-26
032326-31756,35319,Due Out,Good,,2026-03-26
032326-31755,35318,Due Out,Good,,2026-03-26
032326-31754,35317,Due Out,Good,,2026-03-26
032326-31753,35316,Due Out,Good,,2026-03-26
032326-31752,35315,Due Out,Bad,"copper fails, but doesnt fail",2026-03-26
032326-31743,35314,Due Out,Good,,2026-03-26
032326-31742,35313,Due Out,Good,,2026-03-26
032326-31741,35312,Due Out,Good,,2026-03-26
032326-31740,35311,Due Out,Good,,2026-03-26
032326-31739,35310,Due Out,Good,,2026-03-26
032326-31738,35309,Due Out,Good,,2026-03-26
032326-31737,35308,Due Out,Good,,2026-03-26
032326-31736,35307,Due Out,Good,,2026-03-26
032326-31735,35306,Due Out,Good,,2026-03-26
032326-31734,35305,Due Out,Good,,2026-03-26
032326-31733,35304,Due Out,Bad,flash missing,2026-03-26
032326-31732,35303,Due Out,Good,,2026-03-26
032326-31731,35302,Due Out,Good,,2026-03-26
032326-31730,35301,Due Out,Good,,2026-03-26
032326-31729,35300,Due Out,Good,,2026-03-26
032326-31728,35299,Due Out,Good,,2026-03-26
032326-31727,35298,Due Out,Good,,2026-03-26
032326-31726,35297,Due Out,Good,,2026-03-26
032326-31725,35296,Due Out,Good,,2026-03-26
032326-31724,35295,Due Out,Good,,2026-03-26
032326-31723,35294,Due Out,Good,,2026-03-26
032326-31722,35293,Due Out,Good,,2026-03-26
032326-31721,35292,Due Out,Good,,2026-03-26
032326-31710,35281,Due Out,Good,,2026-03-26
032326-31709,35280,Due Out,Good,,2026-03-26
032326-31708,35279,Due Out,Good,,2026-03-26
032326-31707,35278,Due Out,Good,,2026-03-26
032326-31706,35277,Due Out,Good,,2026-03-26
032326-31705,35276,Due Out,Good,,2026-03-26
032326-31704,35275,Due Out,Good,,2026-03-26
032326-31703,35274,Due Out,Good,,2026-03-26
032326-31702,35273,Due Out,Good,,2026-03-26
032326-31701,35272,Due Out,Good,,2026-03-26
032326-31700,35271,Due Out,Good,,2026-03-26
032326-31699,35270,Due Out,Good,,2026-03-26
032326-31698,35269,Due Out,Good,,2026-03-26
032326-31697,35268,Due Out,Good,,2026-03-26
032326-31696,35267,Due Out,Good,,2026-03-26
032326-31695,35266,Due Out,Good,,2026-03-26
032326-31694,35265,Due Out,Good,,2026-03-26
032326-31693,35264,Due Out,Good,,2026-03-26
032326-31692,35263,Due Out,Good,,2026-03-26
032326-31691,35262,Due Out,Good,,2026-03-26
032326-31769,34935,Due Out,Good,,2026-03-26
032326-31768,34934,Due Out,Good,,2026-03-26
032326-31768,34934,Due Out,Good,,2026-03-26
032326-31767,34933,Due Out,Good,,2026-03-26
032326-31751,34932,Due Out,Good,,2026-03-26
032326-31750,34931,Due Out,Good,,2026-03-26
032326-31749,34930,Due Out,Good,,2026-03-26
032326-31748,34929,Due Out,Good,,2026-03-26
032326-31766,34928,Due Out,Good,,2026-03-26
032326-31765,34927,Due Out,Good,,2026-03-26
032326-31747,34926,Due Out,Good,,2026-03-26
032326-31764,34925,Due Out,Good,,2026-03-26
032326-31746,34924,Due Out,Good,,2026-03-26
032326-31763,34923,Due Out,Good,,2026-03-26
032326-31745,34922,Due Out,Good,,2026-03-26
032326-31762,34921,Due Out,Good,,2026-03-26
032326-31744,34920,Due Out,Good,,2026-03-26
032326-31761,34919,Due Out,Good,,2026-03-26
032326-31761,34919,Due Out,Good,,2026-03-26

QBench Good Samples View:
https://asaplabs.qbench.net/tests?sample_ids=35333&sample_ids=35332&sample_ids=35331&sample_ids=35330&sample_ids=35329&sample_ids=35328&sample_ids=35327&sample_ids=35326&sample_ids=35325&sample_ids=35324&sample_ids=35323&sample_ids=35322&sample_ids=35321&sample_ids=35320&sample_ids=35319&sample_ids=35318&sample_ids=35317&sample_ids=35316&sample_ids=35314&sample_ids=35313&sample_ids=35312&sample_ids=35311&sample_ids=35310&sample_ids=35309&sample_ids=35308&sample_ids=35307&sample_ids=35306&sample_ids=35305&sample_ids=35303&sample_ids=35302&sample_ids=35301&sample_ids=35300&sample_ids=35299&sample_ids=35298&sample_ids=35297&sample_ids=35296&sample_ids=35295&sample_ids=35294&sample_ids=35293&sample_ids=35292&sample_ids=35281&sample_ids=35280&sample_ids=35279&sample_ids=35278&sample_ids=35277&sample_ids=35276&sample_ids=35275&sample_ids=35274&sample_ids=35273&sample_ids=35272&sample_ids=35271&sample_ids=35270&sample_ids=35269&sample_ids=35268&sample_ids=35267&sample_ids=35266&sample_ids=35265&sample_ids=35264&sample_ids=35263&sample_ids=35262&sample_ids=34935&sample_ids=34934&sample_ids=34934&sample_ids=34933&sample_ids=34932&sample_ids=34931&sample_ids=34930&sample_ids=34929&sample_ids=34928&sample_ids=34927&sample_ids=34926&sample_ids=34925&sample_ids=34924&sample_ids=34923&sample_ids=34922&sample_ids=34921&sample_ids=34920&sample_ids=34919&sample_ids=34919&sort_order=DESC&view_config_id=17&page_size=700
