lab_id,sample_id,tab,outcome,reason,date
032426-31781,35376,Due Out,Good,,2026-03-27
032426-31780,35375,Due Out,Good,,2026-03-27
032426-31779,35374,Due Out,Good,,2026-03-27
032426-31842,35373,Due Out,Good,,2026-03-27
032426-31841,35372,Due Out,Good,,2026-03-27
032426-31840,35371,Due Out,Good,,2026-03-27
032426-31839,35370,Due Out,Good,,2026-03-27
032426-31838,35369,Due Out,Good,,2026-03-27
032426-31837,35368,Due Out,Good,,2026-03-27
032426-31836,35367,Due Out,Good,,2026-03-27
032426-31835,35366,Due Out,Good,,2026-03-27
032426-31834,35365,Due Out,Good,,2026-03-27
032426-31833,35364,Due Out,Good,,2026-03-27
032426-31832,35363,Due Out,Good,,2026-03-27
032426-31831,35362,Due Out,Good,,2026-03-27
032426-31830,35361,Due Out,Good,,2026-03-27
032426-31829,35360,Due Out,Good,,2026-03-27
032426-31828,35359,Due Out,Good,,2026-03-27
032426-31827,35358,Due Out,Good,,2026-03-27
032426-31826,35357,Due Out,Good,,2026-03-27
032426-31825,35356,Due Out,Good,,2026-03-27
032426-31824,35355,Due Out,Good,,2026-03-27
032426-31823,35354,Due Out,Good,,2026-03-27
032426-31822,35353,Due Out,Good,,2026-03-27
032426-31821,35352,Due Out,Good,,2026-03-27
032426-31820,35351,Due Out,Good,,2026-03-27
032426-31819,35350,Due Out,Good,,2026-03-27
032426-31818,35349,Due Out,Good,,2026-03-27
032426-31817,35348,Due Out,Good,,2026-03-27
032426-31816,35347,Due Out,Good,,2026-03-27
032426-31815,35346,Due Out,Good,,2026-03-27
032426-31814,35345,Due Out,Good,,2026-03-27
032426-31790,35344,Due Out,Good,,2026-03-27
032426-31789,35343,Due Out,Good,,2026-03-27
032426-31788,35342,Due Out,Good,,2026-03-27
032426-31787,35341,Due Out,Good,,2026-03-27
032426-31787,35341,Due Out,Bad,flash missing,2026-03-27
032426-31786,35340,Due Out,Good,,2026-03-27
032426-31785,35339,Due Out,Good,,2026-03-27
032426-31784,35338,Due Out,Good,,2026-03-27
032426-31783,35337,Due Out,Good,,2026-03-27
032426-31782,35336,Due Out,Good,,2026-03-27
032426-31810,33600,Due Out,Good,,2026-03-27
032426-31805,33580,Due Out,Good,,2026-03-27
032426-31803,33579,Due Out,Good,,2026-03-27
032426-31809,33576,Due Out,Good,,2026-03-27
032426-31811,33575,Due Out,Good,,2026-03-27
032426-31801,33574,Due Out,Good,,2026-03-27
032426-31802,33573,Due Out,Good,,2026-03-27
032426-31797,33568,Due Out,Good,,2026-03-27
032426-31796,33566,Due Out,Good,,2026-03-27
032426-31807,33564,Due Out,Good,,2026-03-27
032426-31808,33563,Due Out,Good,,2026-03-27
032426-31795,33562,Due Out,Good,,2026-03-27
032426-31794,33561,Due Out,Good,,2026-03-27
032426-31806,33560,Due Out,Good,,2026-03-27
032426-31793,33559,Due Out,Good,,2026-03-27
032426-31804,33558,Due Out,Good,,2026-03-27
032426-31813,33557,Due Out,Good,,2026-03-27
032426-31791,33556,Due Out,Good,,2026-03-27
032426-31800,33555,Due Out,Good,,2026-03-27
032426-31799,33554,Due Out,Good,,2026-03-27
032426-31812,33553,Due Out,Good,,2026-03-27
032426-31792,33551,Due Out,Good,,2026-03-27
032426-31798,33506,Due Out,Good,,2026-03-27
032426-31844,30611,Due Out,Good,,2026-03-27
032426-31843,30608,Due Out,Good,,2026-03-27
032526-31845,35408,Yesterday,Good,,2026-03-27
032526-31867,35407,Yesterday,Good,,2026-03-27
032526-31866,35406,Yesterday,Good,,2026-03-27
032526-31865,35405,Yesterday,Good,,2026-03-27
032526-31864,35404,Yesterday,Good,,2026-03-27
032526-31863,35403,Yesterday,Good,,2026-03-27
032526-31862,35402,Yesterday,Good,,2026-03-27
032526-31861,35401,Yesterday,Good,,2026-03-27
032526-31860,35400,Yesterday,Good,,2026-03-27
032526-31859,35399,Yesterday,Good,,2026-03-27
032526-31858,35398,Yesterday,Good,,2026-03-27
032526-31857,35397,Yesterday,Good,,2026-03-27
032526-31856,35396,Yesterday,Good,,2026-03-27
032526-31855,35395,Yesterday,Good,,2026-03-27
032526-31854,35394,Yesterday,Good,,2026-03-27
032526-31853,35393,Yesterday,Good,,2026-03-27
